flag	content

$LOADING	Yüklənir
$PERIOD_PUNCTUATION	.
$COLON_PUNCTUATION	:
$DECIMAL_POINT	.
$THOUSANDS_SEPARATOR	,

$PLAY	Oyna
$ENDLESS	Sonsuz
$MULTIPLAYER	Çoxoyunçulu
$CREDITS	Təşəkkürlər
$BACK	Geri
$SELECT_PLAYERS	Oyunçuları seç
$NUMBER_OF_PLAYERS	Oyunçu sayı
$STAGES	Səviyyələr
$G-SWITCH_3	G-Switch 3
$G-SWITCH_3_PLUS_LONG	G-Switch 3 Plus
$G-SWITCH_3_PLUS_SHORT	G-Switch 3
$G-SWITCH_2	G-Switch 2
$G-SWITCH_1	G-Switch 1
$CUSTOM_1	Xüsusi 1
$CUSTOM_2	Xüsusi 2
$CUSTOM_3	Xüsusi 3
$SET	Təyin et...
$NEVER-ENDING	Sonsuz
$NO_POWERUPS	Gücləndirmə yoxdur
$CLICK	Kliklə
$MORE_OPTIONS	Daha çox seçim
$STAGE_OPTIONS	Səviyyə seçimləri
$PLAY_AGAINST_COMPUTER	Kompüterə qarşı oyna
$SELECT_LEVEL	Səviyyə seç
$STAGE_SELECTION	Səviyyə seçimi
$CONTINUE	Davam et
$MAIN_MENU	Əsas menyu
$GAME_PAUSED	Oyun dayandırıldı
$SECRET_ORB_FOUND	Gizli kürə tapıldı
$CHARACTER_UNLOCKED	Yeni personaj açıldı!
$LAST_CHARACTER_UNLOCKED	Son personaj açıldı! Bütün kürələr tapıldı!
$BEST_TIME	Ən yaxşı<N>vaxt
$NONE_CAPS	YOX
$START_OVER	Yenidən başla
$YES	Bəli
$NO	Xeyr
$CANCEL	Ləğv et
$CONTINUE_QUESTION	Davam edilsin?
$CONTINUE_PREVIOUS_GAME_QUESTION	Əvvəlki oyuna davam edilsin?
$CHOOSE_NEW_KEY	Yeni düymə seç
$PRESS_NEW_KEY	Yeni düyməni bas...
$KEY_ALREADY_IN_USE	“<X>” artıq istifadə olunur.<N>Zəhmət olmasa başqa düymə seç.

$WINNER	Qalib
$TIE_EXCLAMATION	Bərabərə!
$HAS_WON_THE_TOURNAMENT	turniri qazandı!
$TWO_PLAYER_TIE	İki oyunçu<N>birinci yer üçün bərabərə qalıb!
$THREE_PLAYER_TIE	Üç oyunçu<N>birinci yer üçün bərabərə qalıb!
